Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin,quantity,city
Buick Skyhawk,21,6,231,110,3039,15,75,US,209,NJ
Buick Skylark,20.5,6,231,105,3425,16.9,77,US,271,DALLAS
Buick Skylark,26.6,4,151,84,2635,16.4,81,US,384,NewYork
Buick Skylark 320,15,8,350,165,3693,11.5,70,US,25,NJ
Buick Skylark Limited,28.4,4,151,90,2670,16,79,US,350,DALLAS
Cadillac Eldorado,23,8,350,125,3900,17.4,79,US,343,TEXAS
Cadillac Seville,16.5,8,350,180,4380,12.1,76,US,28,OH
Capri ii,25,4,140,92,2572,14.9,76,US,229,NewYork
Chevrolet Bel Air,15,8,350,145,4440,14,75,US,202,NJ
Chevrolet C10,13,8,350,145,4055,12,76,US,75,DALLAS
Chevrolet Camaro,27,4,151,90,2950,17.3,82,US,438,TEXAS
Chevrolet Caprice Classic,13,8,400,150,4464,12,73,US,136,OH
Chevrolet Caprice Classic,17.5,8,305,145,3880,12.5,77,US,266,NewYork
Chevrolet Caprice Classic,17,8,305,130,3840,15.4,79,US,330,NJ
Chevrolet Cavalier,28,4,112,88,2605,19.6,82,US,413,DALLAS
Chevrolet Cavalier 2-door,34,4,112,88,2395,18,82,US,415,TEXAS
Chevrolet Cavalier Wagon,27,4,112,88,2640,18.6,82,US,414,OH
Chevrolet Chevelle Concours (sw),0,8,350,165,4142,11.5,70,US,33,NewYork
Chevrolet Chevelle Concours (sw),13,8,307,130,4098,14,72,US,118,NJ
Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US,20,DALLAS
Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,US,80,NewYork
Chevrolet Chevelle Malibu Classic,16,6,250,100,3781,17,74,US,178,NJ
Chevrolet Chevelle Malibu Classic,17.5,8,305,140,4215,13,76,US,232,DALLAS
Chevrolet Chevette,29,4,85,52,2035,22.2,76,US,240,TEXAS
Chevrolet Chevette,30.5,4,98,63,2051,17,77,US,282,OH
Chevrolet Chevette,30,4,98,68,2155,16.5,78,US,311,NewYork
Chevrolet Chevette,32.1,4,98,70,2120,15.5,80,US,356,NJ
Chevrolet Citation,28.8,6,173,115,2595,11.3,79,US,351,DALLAS
Chevrolet Citation,28,4,151,90,2678,16.5,80,US,358,TEXAS
Chevrolet Citation,23.5,6,173,110,2725,12.6,81,US,386,OH
Chevrolet Concours,17.5,6,250,110,3520,16.4,77,US,7,NewYork
Chevrolet Impala,14,8,454,220,4354,9,70,US,7,NJ
Chevrolet Impala,14,8,350,165,4209,12,71,US,83,DALLAS
Chevrolet Impala,13,8,350,165,4274,12,72,US,107,TEXAS
Chevrolet Impala,11,8,400,150,4997,14,73,US,148,OH
Chevrolet Malibu,13,8,350,145,3988,13,73,US,132,NewYork
Chevrolet Malibu,20.5,6,200,95,3155,18.2,78,US,298,NJ
Chevrolet Malibu Classic (sw),19.2,8,267,125,3605,15,79,US,336,DALLAS
Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US,56,NewYork
Chevrolet Monte Carlo Landau,15.5,8,350,170,4165,11.4,77,US,275,NJ
Chevrolet Monte Carlo Landau,19.2,8,305,145,3425,13.2,78,US,307,DALLAS
Chevrolet Monte Carlo S,15,8,350,145,4082,13,73,US,160,TEXAS
Chevrolet Monza 2+2,20,8,262,110,3221,13.5,75,US,210,OH
Chevrolet Nova,15,6,250,100,3336,17,74,US,173,NewYork
Chevrolet Nova,18,6,250,105,3459,16,75,US,198,NJ
Chevrolet Nova,22,6,250,105,3353,14.5,76,US,237,DALLAS
Chevrolet Nova Custom,16,6,250,100,3278,18,73,US,143,TEXAS
Chevrolet Vega,20,4,140,90,2408,19.5,72,US,105,OH
Chevrolet Vega,21,4,140,72,2401,19.5,73,US,154,NewYork
Chevrolet Vega,25,4,140,75,2542,17,74,US,177,NJ
Chevrolet Vega (sw),22,4,140,72,2408,19,71,US,91,DALLAS
Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,US,74,TEXAS
Chevrolet Woody,24.5,4,98,60,2164,22.1,76,US,241,OH
Chevrolete Chevelle Malibu,16,6,250,105,3897,18.5,75,US,206,NewYork
Chevy C20,10,8,307,200,4376,15,70,US,70,NJ
Chevy S-10,31,4,119,82,2720,19.4,82,US,7,NewYork
Chrysler Cordoba,15.5,8,400,190,4325,12.2,77,US,7,NJ
Chrysler Lebaron Medallion,26,4,156,92,2585,14.5,82,US,434,DALLAS
Chrysler Lebaron Salon,17.6,6,225,85,3465,16.6,81,US,412,TEXAS
Chrysler Lebaron Town @ Country (sw),18.5,8,360,150,3940,13,79,US,337,OH
Chrysler New Yorker Brougham,13,8,440,215,4735,11,73,US,139,NewYork
Chrysler Newport Royal,13,8,400,190,4422,12.5,72,US,115,NJ
Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe,58,DALLAS
Datsun 1200,35,4,72,69,1613,18,71,Japan,99,TEXAS
Datsun 200SX,32.9,4,119,100,2615,14.8,81,Japan,402,OH
Datsun 200-SX,23.9,4,119,97,2405,14.9,78,Japan,318,NewYork
Datsun 210,31.8,4,85,65,2020,19.2,79,Japan,348,NJ
Datsun 210,40.8,4,85,65,2110,19.2,80,Japan,369,DALLAS
Datsun 210 MPG,37,4,85,65,1975,19.4,81,Japan,392,TEXAS
Datsun 280-ZX,32.7,6,168,132,2910,11.4,80,Japan,378,OH
Datsun 310,37.2,4,86,65,2019,16.4,80,Japan,357,NewYork
Datsun 310 GX,38,4,91,67,1995,16.2,82,Japan,431,NJ
Datsun 510,27.2,4,119,97,2300,14.7,78,Japan,313,DALLAS
Datsun 510 (sw),28,4,97,92,2288,17,72,Japan,126,TEXAS
Datsun 510 Hatchback,37,4,119,92,2434,15,80,Japan,365,NewYork
Datsun 610,22,4,108,94,2379,16.5,73,Japan,155,NewYork
Datsun 710,32,4,83,61,2003,19,74,Japan,190,NJ
Datsun 710,24,4,119,97,2545,17,75,Japan,218,DALLAS
Datsun 810,22,6,146,97,2815,14.5,77,Japan,286,TEXAS
Datsun 810 Maxima,24.2,6,146,120,2930,13.8,81,Japan,408,OH
Datsun B210,31,4,79,67,1950,19,74,Japan,174,NewYork
Datsun B-210,32,4,85,70,1990,17,76,Japan,249,NJ
Datsun B210 GX,39.4,4,85,70,2070,18.6,78,Japan,292,DALLAS
Datsun F-10 Hatchback,33.5,4,85,70,1945,16.8,77,Japan,265,TEXAS
Datsun PL510,27,4,97,88,2130,14.5,70,Japan,62,OH
Datsun PL510,27,4,97,88,2130,14.5,71,Japan,73,NewYork
Dodge Aries SE,29,4,135,84,2525,16,82,US,417,NJ
Dodge Aries Wagon (sw),25.8,4,156,92,2620,14.4,81,US,385,DALLAS
Dodge Aspen,18.6,6,225,110,3620,18.7,78,US,305,TEXAS
Dodge Aspen,19.1,6,225,90,3381,18.7,80,US,361,OH
Dodge Aspen 6,20.6,6,225,110,3360,16.6,79,US,329,NewYork
Dodge Aspen SE,20,6,225,100,3651,17.7,76,US,244,NJ
Dodge Challenger SE,15,8,383,170,3563,10,70,US,67,DALLAS
Dodge Charger 2.2,36,4,135,84,2370,13,82,US,75,TEXAS
Dodge Colt,28,4,90,75,2125,14.5,74,US,191,NewYork
Dodge Colt,26,4,98,79,2255,17.7,76,US,230,NJ
Dodge Colt,27.9,4,156,105,2800,14.4,80,US,368,DALLAS
Dodge Colt (sw),28,4,98,80,2164,15,72,US,128,TEXAS
Dodge Colt Hardtop,25,4,97.5,80,2126,17,72,US,103,OH
Dodge Colt Hatchback Custom,35.7,4,98,80,1915,14.4,79,US,340,NewYork
Dodge Colt m/m,33.5,4,98,83,2075,15.9,77,US,283,NJ
Dodge Coronet Brougham,16,8,318,150,4190,13,76,US,233,DALLAS
Dodge Coronet Custom,15,8,318,150,3777,12.5,73,US,134,TEXAS
Dodge Coronet Custom (sw),14,8,318,150,4457,13.5,74,US,183,OH
Dodge D100,13,8,318,150,3755,14,76,US,260,NewYork
Dodge D200,11,8,318,210,4382,13.5,70,US,71,NJ
Dodge Dart Custom,15,8,318,150,3399,11,73,US,166,DALLAS
Dodge Diplomat,19.4,8,318,140,3735,13.2,78,US,295,TEXAS
Dodge Magnum XE,17.5,8,318,140,4080,13.7,78,US,310,OH
Dodge Monaco (sw),12,8,383,180,4955,11.5,71,US,87,NewYork
Dodge Monaco Brougham,15.5,8,318,145,4140,13.7,77,US,268,NJ
Dodge Omni,30.9,4,105,75,2230,14.5,78,US,314,DALLAS
Dodge Rampage,32,4,135,84,2295,11.6,82,US,57,TEXAS
Dodge St. Regis,18.2,8,318,135,3830,15.2,79,US,333,OH
Fiat 124 Sport Coupe,26,4,98,90,2265,15.5,73,Europe,159,NewYork
Fiat 124 TC,26,4,116,75,2246,14,74,Europe,193,NJ
Fiat 124B,30,4,88,76,2065,14.5,71,Europe,97,DALLAS
Fiat 128,29,4,68,49,1867,19.5,73,Europe,162,TEXAS
Fiat 128,24,4,90,75,2108,15.5,74,Europe,192,OH
Fiat 131,28,4,107,86,2464,15.5,76,Europe,227,NewYork
Fiat Strada Custom,37.3,4,91,69,2130,14.7,79,Europe,349,NJ
Fiat x1.9,31,4,79,67,2000,16,74,Europe,196,DALLAS
Ford Country,12,8,400,167,4906,12.5,73,US,149,TEXAS
Ford Country Squire (sw),13,8,400,170,4746,12,71,US,88,OH
Ford Country Squire (sw),15.5,8,351,142,4054,14.3,79,US,335,NewYork
Ford Escort 2H,29.9,4,98,65,2380,20.7,81,US,397,NJ
Ford Escort 4W,34.4,4,98,65,2045,16.2,81,US,396,DALLAS
Ford F108,13,8,302,130,3870,15,76,US,259,NewYork
Ford F250,10,8,360,215,4615,14,70,US,69,NJ
Ford Fairmont,26.4,4,140,88,2870,18.1,80,US,359,DALLAS
Ford Fairmont (auto),20.2,6,200,85,2965,15.8,78,US,299,TEXAS
Ford Fairmont (man),25.1,4,140,88,2720,15.4,78,US,300,OH
Ford Fairmont 4,22.3,4,140,88,2890,17.3,79,US,327,NewYork
Ford Fairmont Futura,24,4,140,92,2865,16.4,82,US,419,NJ
Ford Fiesta,36.1,4,98,66,1800,14.4,78,US,290,DALLAS
Ford Futura,18.1,8,302,139,3205,11.2,78,US,57,TEXAS
Ford Galaxie 500,15,8,429,198,4341,10,70,US,8,OH
Ford Galaxie 500,14,8,351,153,4154,13.5,71,US,85,NewYork
Ford Galaxie 500,14,8,351,153,4129,13,72,US,110,NJ
Ford Gran Torino,14,8,302,137,4042,14.5,73,US,133,DALLAS
Ford Gran Torino,16,8,302,140,4141,14,74,US,181,TEXAS
Ford Gran Torino,14.5,8,351,152,4215,12.8,76,US,235,OH
Ford Gran Torino (sw),13,8,302,140,4294,16,72,US,119,NewYork
Ford Gran Torino (sw),14,8,302,140,4638,16,74,US,184,NJ
Ford Grenada,18.5,6,250,98,3525,19,77,US,273,DALLAS
Ford Grenada ghia,18,6,250,78,3574,21,76,US,245,NewYork
Ford Grenada gl,20.2,6,200,88,3060,17.1,81,US,411,NJ
Ford Grenada l,22,6,232,112,2835,14.7,82,US,28,DALLAS
Ford LTD,13,8,351,158,4363,13,73,US,137,TEXAS
Ford LTD,14,8,351,148,4657,13.5,75,US,18,OH
Ford LTD Landau,17.6,8,302,129,3725,13.4,79,US,331,NewYork
Ford Maverick,21,6,200,85,2587,16,70,US,61,NJ
Ford Maverick,18,6,250,88,3021,16.5,73,US,145,DALLAS
Ford Maverick,21,6,200,0,2875,17,74,US,171,TEXAS
Ford Maverick,15,6,250,72,3158,19.5,75,US,200,OH
Ford Maverick,24,6,200,81,3012,17.6,76,US,238,NewYork
Ford Mustang,18,6,250,88,3139,14.5,71,US,93,NJ
Ford Mustang Boss 302,0,8,302,140,3353,8,70,US,75,DALLAS
Ford Mustang Cobra,23.6,4,140,0,2905,14.3,80,US,381,TEXAS
Ford Mustang GL,27,4,140,86,2790,15.6,82,US,439,OH
Ford Mustang II,13,8,302,129,3169,12,75,US,211,NewYork
Ford Mustang II 2+2,25.5,4,140,89,2755,15.8,77,US,5,NJ
Ford Pinto,25,4,98,0,2046,19,71,US,76,DALLAS
Ford Pinto,19,4,122,85,2310,18.5,73,US,157,NewYork
Ford Pinto,26,4,122,80,2451,16.5,74,US,175,NJ
Ford Pinto,23,4,140,83,2639,17,75,US,213,DALLAS
Ford Pinto,18,6,171,97,2984,14.5,75,US,155,TEXAS
Ford Pinto,26.5,4,140,72,2565,13.6,76,US,251,OH
Ford Pinto (sw),22,4,122,86,2395,16,72,US,125,NewYork
Ford Pinto Runabout,21,4,122,86,2226,16.5,72,US,106,NJ
Ford Ranger,28,4,120,79,2625,18.6,82,US,7,DALLAS
Ford Thunderbird,16,8,351,149,4335,14.5,77,US,277,TEXAS
Ford Torino,17,8,302,140,3449,10.5,70,US,5,OH
Ford Torino (sw),0,8,351,153,4034,11,70,US,56,NewYork
Ford Torino 500,19,6,250,88,3302,15.5,71,US,81,NJ
Hi 1200D,9,8,304,193,4732,18.5,70,US,72,DALLAS
Honda Accord,32.4,4,107,72,2290,17,80,Japan,382,TEXAS
Honda Accord,36,4,107,75,2205,14.5,82,Japan,427,OH
Honda Accord CVCC,31.5,4,98,68,2045,18.5,77,Japan,261,NewYork
Honda Accord LX,29.5,4,98,68,2135,16.6,78,Japan,7,NJ
Honda Civic,24,4,120,97,2489,15,74,Japan,194,NewYork
Honda Civic,33,4,91,53,1795,17.4,76,Japan,243,NJ
Honda Civic,38,4,91,67,1965,15,82,Japan,82,DALLAS
Honda Civic (auto),32,4,91,67,1965,15.7,82,Japan,430,TEXAS
Honda Civic 1300,35.1,4,81,60,1760,16.1,81,Japan,390,OH
Honda Civic 1500 gl,44.6,4,91,67,1850,13.8,80,Japan,374,NewYork
Honda Civic CVCC,33,4,91,53,1795,17.5,75,Japan,226,NJ
Honda Civic CVCC,36.1,4,91,60,1800,16.4,78,Japan,293,DALLAS
Honda Prelude,33.7,4,107,75,2210,14.4,81,Japan,400,TEXAS
Mazda 626,31.3,4,120,75,2542,17.5,80,Japan,364,OH
Mazda 626,31.6,4,120,74,2635,18.3,81,Japan,403,NewYork
Mazda GLC,46.6,4,86,65,2110,17.9,80,Japan,367,NJ
Mazda GLC 4,34.1,4,91,68,1985,16,81,Japan,394,DALLAS
Mazda GLC Custom,31,4,91,68,1970,17.6,82,Japan,423,TEXAS
Mazda GLC Custom l,37,4,91,68,2025,18.2,82,Japan,422,OH
Mazda GLC Deluxe,32.8,4,78,52,1985,19.4,78,Japan,291,NewYork
Mazda GLC Deluxe,34.1,4,86,65,1975,15.2,79,Japan,7,NJ
Mazda RX2 Coupe,19,3,70,97,2330,13.5,72,Japan,116,DALLAS
Mazda RX3,18,3,70,90,2124,13.5,73,Japan,156,TEXAS
Mazda RX-4,21.5,3,80,110,2720,13.5,77,Japan,288,NewYork
Mazda RX-7 GS,23.7,3,70,100,2420,12.5,80,Japan,379,NewYork
Mercedes Benz 300d,25.4,5,183,77,3530,20.1,79,Europe,342,NJ
Mercedes-Benz 240d,30,4,146,67,3250,21.8,80,Europe,373,DALLAS
Mercedes-Benz 280s,16.5,6,168,120,3820,16.7,76,Europe,256,TEXAS
Mercury Capri 2000,23,4,122,86,2220,14,71,US,94,OH
Mercury Capri v6,21,6,155,107,2472,14,73,US,158,NewYork
Mercury Cougar Brougham,15,8,302,130,4295,14.9,77,US,27,NJ
Mercury Grand Marquis,16.5,8,351,138,3955,13.2,79,US,332,DALLAS
Mercury Lynx l,36,4,98,70,2125,17.3,82,US,425,TEXAS
Mercury Marquis,11,8,429,208,4633,11,72,US,112,OH
Mercury Marquis Brougham,12,8,429,198,4952,11.5,73,US,135,NewYork
Mercury Monarch,15,6,250,72,3432,21,75,US,199,NJ
Mercury Monarch ghia,20.2,8,302,139,3570,12.8,78,US,296,DALLAS
Mercury Zephyr,20.8,6,200,85,3070,16.7,78,US,304,TEXAS
Mercury Zephyr 6,19.8,6,200,85,2990,18.2,79,US,326,OH
Nissan Stanza XE,36,4,120,88,2160,14.5,82,Japan,8,NewYork
Oldsmobile Cutlass Ciera (diesel),38,6,262,85,3015,17,82,US,28,NJ
Oldsmobile Cutlass LS,26.6,8,350,105,3725,19,81,US,410,DALLAS
Oldsmobile Cutlass Salon Brougham,19.9,8,260,110,3365,15.5,78,US,294,TEXAS
Oldsmobile Cutlass Salon Brougham,23.9,8,260,90,3420,22.2,79,US,345,NewYork
Oldsmobile Cutlass Supreme,17,8,260,110,4060,19,77,US,752,NJ
Oldsmobile Delta 88 Royale,12,8,350,160,4456,13.5,72,US,114,DALLAS
Oldsmobile Omega,11,8,350,180,3664,11,73,US,169,TEXAS
Oldsmobile Omega Brougham,26.8,6,173,115,2700,12.9,79,US,352,OH
Oldsmobile Starfire SX,23.8,4,151,85,2855,17.6,78,US,317,NewYork
Oldsmobile Vista Cruiser,12,8,350,180,4499,12.5,73,US,151,NJ
Opel 1900,28,4,116,90,2123,14,71,Europe,95,DALLAS
Opel 1900,25,4,116,81,2220,16.9,76,Europe,25,TEXAS
Opel Manta,24,4,116,75,2158,15.5,73,Europe,163,OH
Opel Manta,26,4,97,78,2300,14.5,74,Europe,188,NewYork
Peugeot 304,30,4,79,70,2074,19.5,71,Europe,96,NJ
Peugeot 504,25,4,110,87,2672,17.5,70,Europe,64,DALLAS
Peugeot 504,23,4,120,88,2957,17,75,Europe,74,TEXAS
Peugeot 504,19,4,120,88,3270,21.9,76,Europe,254,OH
Peugeot 504,27.2,4,141,71,3190,24.8,79,Europe,344,NewYork
Peugeot 504 (sw),21,4,120,87,2979,19.5,72,Europe,123,NJ
Peugeot 505s Turbo Diesel,28.1,4,141,80,3230,20.4,81,Europe,404,DALLAS
Peugeot 604sl,16.2,6,163,133,3410,15.8,78,Europe,322,TEXAS
Plymouth Arrow GS,25.5,4,122,96,2300,15.5,77,US,75275,OH
Plymouth Champ,39,4,86,64,1875,16.4,81,US,389,NewYork
Plymouth Cricket,26,4,91,70,1955,20.5,71,US,101,NJ
Plymouth 'Cuda 340,14,8,340,160,3609,8,70,US,44,DALLAS
Plymouth Custom Suburb,13,8,360,170,4654,13,73,US,150,TEXAS
Plymouth Duster,22,6,198,95,2833,15.5,70,US,59,OH
Plymouth Duster,23,6,198,95,2904,16,73,US,146,NewYork
Plymouth Duster,20,6,198,95,3102,16.5,74,US,170,NJ
Plymouth Fury,18,6,225,95,3785,19,75,US,208,DALLAS
Plymouth Fury Gran Sedan,14,8,318,150,4237,14.5,73,US,138,TEXAS
Plymouth Fury iii,14,8,440,215,4312,8.5,70,US,53,OH
Plymouth Fury iii,14,8,318,150,4096,13,71,US,86,NewYork
Plymouth Fury III,15,8,318,150,4135,13.5,72,US,109,NJ
Plymouth Grand Fury,16,8,318,150,4498,14.5,75,US,203,DALLAS
Plymouth Horizon,34.2,4,105,70,2200,13.2,79,US,346,NewYork
Plymouth Horizon 4,34.7,4,105,63,2215,14.9,81,US,395,NJ
Plymouth Horizon Miser,38,4,105,63,2125,14.7,82,US,424,DALLAS
Plymouth Horizon TC3,34.5,4,105,70,2150,14.9,79,US,347,TEXAS
Plymouth Reliant,27.2,4,135,84,2490,15.7,81,US,383,OH
Plymouth Reliant,30,4,135,84,2385,12.9,81,US,387,NewYork
Plymouth Sapporo,23.2,4,156,105,2745,16.7,78,US,316,NJ
Plymouth Satellite,18,8,318,150,3436,11,70,US,100,DALLAS
Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US,56,TEXAS
Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,US,79,OH
Plymouth Satellite Custom (sw),14,8,318,150,4077,14,72,US,120,NewYork
Plymouth Satellite Sebring,18,6,225,105,3613,16.5,74,US,180,NJ
Plymouth Valiant,18,6,225,105,3121,16.5,73,US,142,DALLAS
Plymouth Valiant,22,6,225,100,3233,15.4,76,US,236,TEXAS
Plymouth Valiant Custom,19,6,225,95,3264,16,75,US,197,OH
Plymouth Volare,20.5,6,225,100,3430,17.2,78,US,301,NewYork
Plymouth Volare Custom,19,6,225,100,3630,17.7,77,US,75,NJ
Plymouth Volare Premier v8,13,8,318,150,3940,13.2,76,US,253,DALLAS
Pontiac Astro,23,4,140,78,2592,18.5,75,US,215,NewYork
Pontiac Catalina,14,8,455,225,4425,10,70,US,39,NJ
Pontiac Catalina,14,8,400,175,4385,12,72,US,108,DALLAS
Pontiac Catalina,16,8,400,170,4668,11.5,75,US,201,TEXAS
Pontiac Catalina Brougham,14,8,400,175,4464,11.5,71,US,84,OH
Pontiac Firebird,19,6,250,100,3282,15,71,US,92,NewYork
Pontiac Grand Prix,16,8,400,230,4278,9.5,73,US,161,NJ
Pontiac Grand Prix LJ,16,8,400,180,4220,11.1,77,US,274,DALLAS
Pontiac J2000 SE Hatchback,31,4,112,85,2575,16.2,82,US,416,TEXAS
Pontiac Lemans V6,21.5,6,231,115,3245,15.4,79,US,325,OH
Pontiac Phoenix,33.5,4,151,90,2556,13.2,79,US,353,NewYork
Pontiac Phoenix,27,4,151,90,2735,18,82,US,418,NJ
Pontiac Phoenix LJ,19.2,6,231,105,3535,19.2,78,US,297,DALLAS
Pontiac Safari (sw),13,8,400,175,5140,12,71,US,89,TEXAS
Pontiac Sunbird Coupe,24.5,4,151,88,2740,16,77,US,279,OH
Pontiac Ventura SJ,18.5,6,250,110,3645,16.2,76,US,285,NewYork
Renault 12 (sw),26,4,96,69,2189,18,72,Europe,124,NJ
Renault 12tl,27,4,101,83,2202,15.3,76,Europe,231,DALLAS
Renault 18i,34.5,4,100,0,2320,15.8,81,Europe,399,NewYork
Renault 5 GTL,36,4,79,58,1825,18.6,77,Europe,263,NJ
Renault Lecar Deluxe,40.9,4,85,0,1835,17.3,80,Europe,375,DALLAS
Saab 900s,0,4,121,110,2800,15.4,81,Europe,405,TEXAS
Saab 99e,25,4,104,95,2375,17.5,70,Europe,66,OH
Saab 99gle,21.6,4,121,115,2795,15.7,78,Europe,7,NewYork
Saab 99le,24,4,121,110,2660,14,73,Europe,167,NJ
Saab 99LE,25,4,121,115,2671,13.5,75,Europe,225,DALLAS
Subaru,26,4,108,93,2391,15.5,74,Japan,195,TEXAS
Subaru,32.3,4,97,67,2065,17.8,81,Japan,391,OH
Subaru DL,30,4,97,67,1985,16.4,77,Japan,284,NewYork
Subaru DL,33.8,4,97,67,2145,18,80,Japan,376,NJ
Toyota Camry,20,4,97,88,2279,19,73,Japan,153,DALLAS
Toyota Celica GT,32,4,144,96,2665,13.9,82,Japan,436,TEXAS
Toyota Celica GT Liftback,21.1,4,134,95,2515,14.8,78,Japan,315,OH
Toyota Corolla,25,4,113,95,2228,14,71,Japan,75,NewYork
Toyota Corolla,31,4,76,52,1649,16.5,74,Japan,189,NJ
Toyota Corolla,29,4,97,75,2171,16,75,Japan,212,NewYork
Toyota Corolla,24,4,134,96,2702,13.5,75,Japan,216,NJ
Toyota Corolla,28,4,97,75,2155,16.4,76,Japan,7,DALLAS
Toyota Corolla,27.5,4,134,95,2560,14.2,78,Japan,312,TEXAS
Toyota Corolla,32.2,4,108,75,2265,15.2,80,Japan,366,OH
Toyota Corolla,32.4,4,108,75,2350,16.8,81,Japan,401,NewYork
Toyota Corolla,34,4,108,70,2245,16.9,82,Japan,428,NJ
Toyota Corolla 1200,31,4,71,65,1773,19,71,Japan,98,DALLAS
Toyota Corolla 1200,32,4,71,65,1836,21,74,Japan,176,TEXAS
Toyota Corolla 1600 (sw),27,4,97,88,2100,16.5,72,Japan,129,OH
Toyota Corolla Hardtop,24,4,113,95,2278,15.5,72,Japan,102,NewYork
Toyota Corolla Liftback,26,4,97,75,2265,18.2,77,Japan,280,NJ
Toyota Corolla Liftback,29.8,4,134,90,2711,15.5,80,Japan,363,DALLAS
Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan,58,TEXAS
Toyota Corolla Mark II (sw),23,4,120,97,2506,14.5,72,Japan,127,OH
Toyota Corolla Tercel,38.1,4,89,60,1968,18.8,80,Japan,355,NewYork
Toyota Cressida,25.4,6,168,116,2900,12.6,81,Japan,407,NJ
Toyota Mark II,20,6,156,122,2807,13.5,73,Japan,168,DALLAS
Toyota Mark II,19,6,156,108,2930,15.5,76,Japan,757,TEXAS
